axis_id,axis_description,side,side_name,concept_label,opposite_label,pair_id,pair_split,template_id,template_split,split,icd_code,icd_description,ccs_string,prompt
diabetes_subtype,Diabetes subtype: Type 1 versus Type 2 diagnosis.,positive,type1,Type 1 diabetes,Type 2 diabetes,diabetes_subtype_0001_06da2fa22c,train,1,train,train,E10,Type 1 diabetes mellitus,Diabetes mellitus without complication,Clinical coding note: ICD E10 is described as Type 1 diabetes mellitus. The contrastive medical concept is
diabetes_subtype,Diabetes subtype: Type 1 versus Type 2 diagnosis.,positive,type1,Type 1 diabetes,Type 2 diabetes,diabetes_subtype_0001_06da2fa22c,train,2,train,train,E10,Type 1 diabetes mellitus,Diabetes mellitus without complication,Medical ontology entry: Type 1 diabetes mellitus (E10). The best concept label is
diabetes_subtype,Diabetes subtype: Type 1 versus Type 2 diagnosis.,positive,type1,Type 1 diabetes,Type 2 diabetes,diabetes_subtype_0001_06da2fa22c,train,3,train,train,E10,Type 1 diabetes mellitus,Diabetes mellitus without complication,A clinician reviews the diagnosis 'Type 1 diabetes mellitus' with ICD code E10. This diagnosis belongs to the concept
diabetes_subtype,Diabetes subtype: Type 1 versus Type 2 diagnosis.,positive,type1,Type 1 diabetes,Type 2 diabetes,diabetes_subtype_0001_06da2fa22c,train,4,train,train,E10,Type 1 diabetes mellitus,Diabetes mellitus without complication,"In a diagnostic terminology table, E10 means Type 1 diabetes mellitus. The relevant concept category is"
diabetes_subtype,Diabetes subtype: Type 1 versus Type 2 diagnosis.,positive,type1,Type 1 diabetes,Type 2 diabetes,diabetes_subtype_0001_06da2fa22c,train,5,train,train,E10,Type 1 diabetes mellitus,Diabetes mellitus without complication,Coding audit: diagnosis=E10; description=Type 1 diabetes mellitus. Assign the medical concept label:
diabetes_subtype,Diabetes subtype: Type 1 versus Type 2 diagnosis.,positive,type1,Type 1 diabetes,Type 2 diabetes,diabetes_subtype_0001_06da2fa22c,train,6,train,train,E10,Type 1 diabetes mellitus,Diabetes mellitus without complication,EHR problem list item: Type 1 diabetes mellitus. The high-level concept represented by this item is
diabetes_subtype,Diabetes subtype: Type 1 versus Type 2 diagnosis.,positive,type1,Type 1 diabetes,Type 2 diabetes,diabetes_subtype_0001_06da2fa22c,train,7,train,train,E10,Type 1 diabetes mellitus,Diabetes mellitus without complication,"For ICD concept E10, 'Type 1 diabetes mellitus', the contrastive label should be"
diabetes_subtype,Diabetes subtype: Type 1 versus Type 2 diagnosis.,positive,type1,Type 1 diabetes,Type 2 diabetes,diabetes_subtype_0001_06da2fa22c,train,8,test,calibration,E10,Type 1 diabetes mellitus,Diabetes mellitus without complication,"The diagnosis text is 'Type 1 diabetes mellitus'. In this experiment, its medical concept side is"
diabetes_subtype,Diabetes subtype: Type 1 versus Type 2 diagnosis.,positive,type1,Type 1 diabetes,Type 2 diabetes,diabetes_subtype_0001_06da2fa22c,train,9,test,calibration,E10,Type 1 diabetes mellitus,Diabetes mellitus without complication,Medical concept extraction task. Input diagnosis: Type 1 diabetes mellitus. Output concept:
diabetes_subtype,Diabetes subtype: Type 1 versus Type 2 diagnosis.,positive,type1,Type 1 diabetes,Type 2 diabetes,diabetes_subtype_0001_06da2fa22c,train,10,test,calibration,E10,Type 1 diabetes mellitus,Diabetes mellitus without complication,"Given the ICD description Type 1 diabetes mellitus and code E10, classify the concept as"
diabetes_subtype,Diabetes subtype: Type 1 versus Type 2 diagnosis.,negative,type2,Type 2 diabetes,Type 1 diabetes,diabetes_subtype_0001_06da2fa22c,train,1,train,train,E11,Type 2 diabetes mellitus,Diabetes mellitus with complications,Clinical coding note: ICD E11 is described as Type 2 diabetes mellitus. The contrastive medical concept is
diabetes_subtype,Diabetes subtype: Type 1 versus Type 2 diagnosis.,negative,type2,Type 2 diabetes,Type 1 diabetes,diabetes_subtype_0001_06da2fa22c,train,2,train,train,E11,Type 2 diabetes mellitus,Diabetes mellitus with complications,Medical ontology entry: Type 2 diabetes mellitus (E11). The best concept label is
diabetes_subtype,Diabetes subtype: Type 1 versus Type 2 diagnosis.,negative,type2,Type 2 diabetes,Type 1 diabetes,diabetes_subtype_0001_06da2fa22c,train,3,train,train,E11,Type 2 diabetes mellitus,Diabetes mellitus with complications,A clinician reviews the diagnosis 'Type 2 diabetes mellitus' with ICD code E11. This diagnosis belongs to the concept
diabetes_subtype,Diabetes subtype: Type 1 versus Type 2 diagnosis.,negative,type2,Type 2 diabetes,Type 1 diabetes,diabetes_subtype_0001_06da2fa22c,train,4,train,train,E11,Type 2 diabetes mellitus,Diabetes mellitus with complications,"In a diagnostic terminology table, E11 means Type 2 diabetes mellitus. The relevant concept category is"
diabetes_subtype,Diabetes subtype: Type 1 versus Type 2 diagnosis.,negative,type2,Type 2 diabetes,Type 1 diabetes,diabetes_subtype_0001_06da2fa22c,train,5,train,train,E11,Type 2 diabetes mellitus,Diabetes mellitus with complications,Coding audit: diagnosis=E11; description=Type 2 diabetes mellitus. Assign the medical concept label:
diabetes_subtype,Diabetes subtype: Type 1 versus Type 2 diagnosis.,negative,type2,Type 2 diabetes,Type 1 diabetes,diabetes_subtype_0001_06da2fa22c,train,6,train,train,E11,Type 2 diabetes mellitus,Diabetes mellitus with complications,EHR problem list item: Type 2 diabetes mellitus. The high-level concept represented by this item is
diabetes_subtype,Diabetes subtype: Type 1 versus Type 2 diagnosis.,negative,type2,Type 2 diabetes,Type 1 diabetes,diabetes_subtype_0001_06da2fa22c,train,7,train,train,E11,Type 2 diabetes mellitus,Diabetes mellitus with complications,"For ICD concept E11, 'Type 2 diabetes mellitus', the contrastive label should be"
diabetes_subtype,Diabetes subtype: Type 1 versus Type 2 diagnosis.,negative,type2,Type 2 diabetes,Type 1 diabetes,diabetes_subtype_0001_06da2fa22c,train,8,test,calibration,E11,Type 2 diabetes mellitus,Diabetes mellitus with complications,"The diagnosis text is 'Type 2 diabetes mellitus'. In this experiment, its medical concept side is"
diabetes_subtype,Diabetes subtype: Type 1 versus Type 2 diagnosis.,negative,type2,Type 2 diabetes,Type 1 diabetes,diabetes_subtype_0001_06da2fa22c,train,9,test,calibration,E11,Type 2 diabetes mellitus,Diabetes mellitus with complications,Medical concept extraction task. Input diagnosis: Type 2 diabetes mellitus. Output concept:
diabetes_subtype,Diabetes subtype: Type 1 versus Type 2 diagnosis.,negative,type2,Type 2 diabetes,Type 1 diabetes,diabetes_subtype_0001_06da2fa22c,train,10,test,calibration,E11,Type 2 diabetes mellitus,Diabetes mellitus with complications,"Given the ICD description Type 2 diabetes mellitus and code E11, classify the concept as"
