axis_id,pair_id,template_id,split,side,projection,predicted_side,correct,prompt
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0001_99188097ff,1,train,positive,530.3824462890625,positive,1,Clinical coding note: ICD 745.7 is described as Cor biloculare. The contrastive medical concept is
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0001_99188097ff,2,train,positive,-558.7337646484375,positive,1,Medical ontology entry: Cor biloculare (745.7). The best concept label is
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0001_99188097ff,3,train,positive,-2508.91943359375,negative,0,A clinician reviews the diagnosis 'Cor biloculare' with ICD code 745.7. This diagnosis belongs to the concept
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0001_99188097ff,4,train,positive,-1130.4298095703125,positive,1,"In a diagnostic terminology table, 745.7 means Cor biloculare. The relevant concept category is"
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0001_99188097ff,5,train,positive,-1728.9471435546875,positive,1,Coding audit: diagnosis=745.7; description=Cor biloculare. Assign the medical concept label:
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0001_99188097ff,6,train,positive,-1177.982666015625,positive,1,EHR problem list item: Cor biloculare. The high-level concept represented by this item is
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0001_99188097ff,7,train,positive,-2153.064208984375,negative,0,"For ICD concept 745.7, 'Cor biloculare', the contrastive label should be"
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0001_99188097ff,1,train,negative,-3539.6103515625,negative,1,Clinical coding note: ICD 756.2 is described as Cervical rib. The contrastive medical concept is
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0001_99188097ff,2,train,negative,-2281.451904296875,negative,1,Medical ontology entry: Cervical rib (756.2). The best concept label is
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0001_99188097ff,3,train,negative,-2494.637939453125,negative,1,A clinician reviews the diagnosis 'Cervical rib' with ICD code 756.2. This diagnosis belongs to the concept
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0001_99188097ff,4,train,negative,-3193.0634765625,negative,1,"In a diagnostic terminology table, 756.2 means Cervical rib. The relevant concept category is"
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0001_99188097ff,5,train,negative,-2452.4482421875,negative,1,Coding audit: diagnosis=756.2; description=Cervical rib. Assign the medical concept label:
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0001_99188097ff,6,train,negative,-2636.962890625,negative,1,EHR problem list item: Cervical rib. The high-level concept represented by this item is
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0001_99188097ff,7,train,negative,-2605.826416015625,negative,1,"For ICD concept 756.2, 'Cervical rib', the contrastive label should be"
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0002_7bb58f027c,1,train,positive,1610.2161865234375,positive,1,Clinical coding note: ICD 745.0 is described as Common truncus. The contrastive medical concept is
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0002_7bb58f027c,2,train,positive,-809.757080078125,positive,1,Medical ontology entry: Common truncus (745.0). The best concept label is
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0002_7bb58f027c,3,train,positive,-2487.385009765625,negative,0,A clinician reviews the diagnosis 'Common truncus' with ICD code 745.0. This diagnosis belongs to the concept
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0002_7bb58f027c,4,train,positive,-1506.9891357421875,positive,1,"In a diagnostic terminology table, 745.0 means Common truncus. The relevant concept category is"
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0002_7bb58f027c,5,train,positive,-1092.32177734375,positive,1,Coding audit: diagnosis=745.0; description=Common truncus. Assign the medical concept label:
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0002_7bb58f027c,6,train,positive,-93.7119140625,positive,1,EHR problem list item: Common truncus. The high-level concept represented by this item is
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0002_7bb58f027c,7,train,positive,-2434.22021484375,negative,0,"For ICD concept 745.0, 'Common truncus', the contrastive label should be"
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0002_7bb58f027c,1,train,negative,-3264.79248046875,negative,1,Clinical coding note: ICD 748.2 is described as Web of larynx. The contrastive medical concept is
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0002_7bb58f027c,2,train,negative,-2419.556640625,negative,1,Medical ontology entry: Web of larynx (748.2). The best concept label is
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0002_7bb58f027c,3,train,negative,-2576.715576171875,negative,1,A clinician reviews the diagnosis 'Web of larynx' with ICD code 748.2. This diagnosis belongs to the concept
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0002_7bb58f027c,4,train,negative,-2861.076416015625,negative,1,"In a diagnostic terminology table, 748.2 means Web of larynx. The relevant concept category is"
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0002_7bb58f027c,5,train,negative,-2751.969970703125,negative,1,Coding audit: diagnosis=748.2; description=Web of larynx. Assign the medical concept label:
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0002_7bb58f027c,6,train,negative,-2757.7802734375,negative,1,EHR problem list item: Web of larynx. The high-level concept represented by this item is
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0002_7bb58f027c,7,train,negative,-2548.5771484375,negative,1,"For ICD concept 748.2, 'Web of larynx', the contrastive label should be"
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0003_16c97daf07,1,train,positive,1857.628173828125,positive,1,Clinical coding note: ICD 746.2 is described as Ebsteins anomaly. The contrastive medical concept is
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0003_16c97daf07,2,train,positive,757.33984375,positive,1,Medical ontology entry: Ebsteins anomaly (746.2). The best concept label is
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0003_16c97daf07,3,train,positive,-2445.445556640625,negative,0,A clinician reviews the diagnosis 'Ebsteins anomaly' with ICD code 746.2. This diagnosis belongs to the concept
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0003_16c97daf07,4,train,positive,-55.0933837890625,positive,1,"In a diagnostic terminology table, 746.2 means Ebsteins anomaly. The relevant concept category is"
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0003_16c97daf07,5,train,positive,-1231.725830078125,positive,1,Coding audit: diagnosis=746.2; description=Ebsteins anomaly. Assign the medical concept label:
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0003_16c97daf07,6,train,positive,759.3668212890625,positive,1,EHR problem list item: Ebsteins anomaly. The high-level concept represented by this item is
congenital_cardiac_vs_other_congenital_ccs,congenital_cardiac_vs_other_congenital_ccs_0003_16c97daf07,7,train,positive,-2309.7978515625,negative,0,"For ICD concept 746.2, 'Ebsteins anomaly', the contrastive label should be"
